DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
804.5,,16.0249,,,,,Andrew,211/18-9
805.0,,15.3359,,,,,Andrew,211/18-9
805.5,,14.6468,,,,,Andrew,211/18-9
806.0,,14.6676,,,,,Andrew,211/18-9
806.5,,15.3613,,,,,Andrew,211/18-9
807.0,,14.6015,,,,,Andrew,211/18-9
807.5,,14.8548,,,,,Andrew,211/18-9
808.0,,16.1813,,,,,Andrew,211/18-9
808.5,,16.0069,,,,,Andrew,211/18-9
809.0,,16.9308,,,,,Andrew,211/18-9
809.5,,17.3248,,,,,Andrew,211/18-9
810.0,,16.6448,,,,,Andrew,211/18-9
810.5,,16.9311,,,,,Andrew,211/18-9
811.0,,16.9311,,,,,Andrew,211/18-9
811.5,,15.9402,,,,,Andrew,211/18-9
812.0,,14.9557,,,,,Andrew,211/18-9
812.5,,16.0269,,,,,Andrew,211/18-9
813.0,,17.6603,,,,,Andrew,211/18-9
813.5,,17.1441,,,,,Andrew,211/18-9
814.0,,15.7509,,,,,Andrew,211/18-9
814.5,,15.7502,,,,,Andrew,211/18-9
815.0,,15.7496,,,,,Andrew,211/18-9
815.5,,15.749,,,,,Andrew,211/18-9
816.0,,15.6866,,,,,Andrew,211/18-9
816.5,,15.5869,,,,,Andrew,211/18-9
817.0,,15.4368,,,,,Andrew,211/18-9
817.5,,16.2585,,,,,Andrew,211/18-9
818.0,,17.0803,,,,,Andrew,211/18-9
818.5,,16.6689,,,,,Andrew,211/18-9
819.0,,16.1591,,,,,Andrew,211/18-9
819.5,,14.9883,,,,,Andrew,211/18-9
820.0,,13.3519,,,,,Andrew,211/18-9
820.5,,14.2366,,,,,Andrew,211/18-9
821.0,,14.9617,,,,,Andrew,211/18-9
821.5,,15.6869,,,,,Andrew,211/18-9
822.0,,15.8843,,,,,Andrew,211/18-9
822.5,,15.4214,,,,,Andrew,211/18-9
823.0,,16.6058,,,,,Andrew,211/18-9
823.5,,17.532,,,,,Andrew,211/18-9
824.0,,17.603,,,,,Andrew,211/18-9
824.5,,17.8254,,,,,Andrew,211/18-9
825.0,,17.1315,,,,,Andrew,211/18-9
825.5,,16.834,,,,,Andrew,211/18-9
826.0,,17.0074,,,,,Andrew,211/18-9
826.5,,17.3446,,,,,Andrew,211/18-9
827.0,,17.7263,,,,,Andrew,211/18-9
827.5,,17.1924,,,,,Andrew,211/18-9
828.0,,16.6439,,,,,Andrew,211/18-9
828.5,,18.3538,,,,,Andrew,211/18-9
829.0,,20.3156,,,,,Andrew,211/18-9
829.5,,21.8408,,,,,Andrew,211/18-9
830.0,,23.2179,,,,,Andrew,211/18-9
830.5,,24.1966,,,,,Andrew,211/18-9
831.0,,24.0403,,,,,Andrew,211/18-9
831.5,,23.446,,,,,Andrew,211/18-9
832.0,,22.8518,,,,,Andrew,211/18-9
832.5,,22.4766,,,,,Andrew,211/18-9
833.0,,22.2965,,,,,Andrew,211/18-9
833.5,,22.1304,,,,,Andrew,211/18-9
834.0,,21.4429,,,,,Andrew,211/18-9
834.5,,20.3034,,,,,Andrew,211/18-9
835.0,,20.4816,,,,,Andrew,211/18-9
835.5,,20.8734,,,,,Andrew,211/18-9
836.0,,20.0462,,,,,Andrew,211/18-9
836.5,,20.5419,,,,,Andrew,211/18-9
837.0,,21.8753,,,,,Andrew,211/18-9
837.5,,21.4925,,,,,Andrew,211/18-9
838.0,,20.3359,,,,,Andrew,211/18-9
838.5,,20.7142,,,,,Andrew,211/18-9
839.0,,21.291,,,,,Andrew,211/18-9
839.5,,20.8432,,,,,Andrew,211/18-9
840.0,,20.3863,,,,,Andrew,211/18-9
840.5,,19.3464,,,,,Andrew,211/18-9
841.0,,19.0852,,,,,Andrew,211/18-9
841.5,,18.6211,,,,,Andrew,211/18-9
