,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
3464,15/17- 15,2551,Ekofisk,0.370972,58.390833,EKOFISK,CHALK
3465,15/17- 15,2595,Upper Cretaceous Chalk,0.370972,58.390833,TOR,CHALK
3466,15/17- 15,3285,Rodby,0.370972,58.390833,,
3467,15/17- 15,3321,Sola,0.370972,58.390833,,
3468,15/17- 15,3431,Valhall,0.370972,58.390833,,
3469,15/17- 15,3725,Kimmeridge Clay,0.370972,58.390833,,
3470,15/17- 15,3957,Old Red Sandstone,0.370972,58.390833,,
3545,15/17- 25,1159,Balder,0.213889,58.380417,BEAULY,MORAY
3546,15/17- 25,1221,Dornoch,0.213889,58.380417,DORNOCH,MORAY
3547,15/17- 25,1430,Sele,0.213889,58.380417,DORNOCH,MORAY
3548,15/17- 25,1716,Lista,0.213889,58.380417,LISTA,MONTROSE
3549,15/17- 25,2220,Maureen,0.213889,58.380417,MAUREEN,MONTROSE
3550,15/17- 25,2351,Ekofisk,0.213889,58.380417,EKOFISK,CHALK
3551,15/17- 25,2390,Tor,0.213889,58.380417,TOR,CHALK
3552,15/17- 25,2595,Mackerel,0.213889,58.380417,,
3553,15/17- 25,3006,Herring,0.213889,58.380417,,
3554,15/17- 25,3089,Hidra,0.213889,58.380417,,
3555,15/17- 25,3208,Rodby,0.213889,58.380417,,
3556,15/17- 25,3276,Sola,0.213889,58.380417,,
3557,15/17- 25,3363,Valhall,0.213889,58.380417,,
3558,15/17- 25,4064,Kimmeridge Clay,0.213889,58.380417,,
3559,15/17- 25,4360,Piper,0.213889,58.380417,,
3560,15/17- 25,4393,Sgiath,0.213889,58.380417,,
3561,15/17- 25,4493,Pentland,0.213889,58.380417,,
3595,15/17- 4,566,Horda,0.289194,58.484361,,
3596,15/17- 4,762,Middle Mousa,0.289194,58.484361,,
3597,15/17- 4,978,Horda,0.289194,58.484361,,
3598,15/17- 4,1039,Beauly,0.289194,58.484361,BEAULY,MORAY
3599,15/17- 4,1136,Dornoch,0.289194,58.484361,DORNOCH,MORAY
3600,15/17- 4,1283,Sele,0.289194,58.484361,DORNOCH,MORAY
3601,15/17- 4,1490,Lista,0.289194,58.484361,LISTA,MONTROSE
3602,15/17- 4,2070,Maureen,0.289194,58.484361,MAUREEN,MONTROSE
3603,15/17- 4,2185,Ekofisk,0.289194,58.484361,EKOFISK,CHALK
3604,15/17- 4,2203,Upper Cretaceous Chalk,0.289194,58.484361,TOR,CHALK
3605,15/17- 4,2441,Rodby,0.289194,58.484361,,
3606,15/17- 4,2460,Sola,0.289194,58.484361,,
3607,15/17- 4,2475,Valhall,0.289194,58.484361,,
3608,15/17- 4,2527,Kimmeridge Clay,0.289194,58.484361,,
3609,15/17- 4,2574,Piper,0.289194,58.484361,,
3610,15/17- 4,2651,Sgiath,0.289194,58.484361,,
3611,15/17- 4,2655,Heather,0.289194,58.484361,,
3612,15/17- 4,2664,Pentland,0.289194,58.484361,,
3613,15/17- 4,2777,Smith Bank,0.289194,58.484361,,
3614,15/17- 4,2853,Turbot Anhydrite,0.289194,58.484361,,
3630,15/17- 6,550,Horda,0.213972,58.471167,,
3631,15/17- 6,759,Middle Mousa,0.213972,58.471167,,
3632,15/17- 6,960,Horda,0.213972,58.471167,,
3633,15/17- 6,1018,Beauly,0.213972,58.471167,BEAULY,MORAY
3634,15/17- 6,1103,Dornoch,0.213972,58.471167,DORNOCH,MORAY
3635,15/17- 6,1347,Sele,0.213972,58.471167,DORNOCH,MORAY
3636,15/17- 6,1450,Lista,0.213972,58.471167,LISTA,MONTROSE
3637,15/17- 6,1886,Maureen,0.213972,58.471167,MAUREEN,MONTROSE
3638,15/17- 7,574,Horda,0.226389,58.432194,,
3639,15/17- 7,773,Middle Mousa,0.226389,58.432194,,
3640,15/17- 7,954,Horda,0.226389,58.432194,,
3641,15/17- 7,1048,Balder,0.226389,58.432194,BEAULY,MORAY
3642,15/17- 7,1058,Beauly,0.226389,58.432194,BEAULY,MORAY
3643,15/17- 7,1158,Dornoch,0.226389,58.432194,DORNOCH,MORAY
3644,15/17- 7,1515,Sele,0.226389,58.432194,DORNOCH,MORAY
3645,15/17- 7,1640,Lista,0.226389,58.432194,LISTA,MONTROSE
