,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
437,14/20-1,17.422,,,,Middle Mousa,,
438,14/20-1,17.6316,,,,Middle Mousa,,
439,14/20-1,18.018,,,,Middle Mousa,,
440,14/20-1,18.016,,,,Middle Mousa,,
441,14/20-1,18.014,,,,Middle Mousa,,
442,14/20-1,18.4393,,,,Middle Mousa,,
443,14/20-1,19.1845,,,,Middle Mousa,,
444,14/20-1,20.0482,,,,Middle Mousa,,
445,14/20-1,21.0916,,,,Middle Mousa,,
446,14/20-1,22.2947,,,,Middle Mousa,,
447,14/20-1,23.8916,,,,Middle Mousa,,
448,14/20-1,25.401,,,,Middle Mousa,,
449,14/20-1,26.8015,,,,Middle Mousa,,
450,14/20-1,28.3145,,,,Middle Mousa,,
451,14/20-1,29.2507,,,,Middle Mousa,,
452,14/20-1,30.2109,,,,Middle Mousa,,
453,14/20-1,31.015,,,,Middle Mousa,,
454,14/20-1,31.6537,,,,Middle Mousa,,
455,14/20-1,31.486,,,,Middle Mousa,,
456,14/20-1,31.1096,,,,Middle Mousa,,
457,14/20-1,30.4027,,,,Middle Mousa,,
458,14/20-1,29.6959,,,,Middle Mousa,,
459,14/20-1,28.6887,,,,Middle Mousa,,
460,14/20-1,27.9875,,,,Middle Mousa,,
461,14/20-1,27.774,,,,Middle Mousa,,
462,14/20-1,27.9734,,,,Middle Mousa,,
463,14/20-1,28.6807,,,,Middle Mousa,,
464,14/20-1,29.4848,,,,Middle Mousa,,
465,14/20-1,30.3885,,,,Middle Mousa,,
466,14/20-1,31.3892,,,,Middle Mousa,,
467,14/20-1,32.2959,,,,Middle Mousa,,
468,14/20-1,33.0799,,,,Middle Mousa,,
469,14/20-1,33.7042,,,,Middle Mousa,,
470,14/20-1,34.0827,,,,Middle Mousa,,
471,14/20-1,34.4841,,,,Middle Mousa,,
472,14/20-1,34.952,,,,Middle Mousa,,
473,14/20-1,34.75,,,,Middle Mousa,,
474,14/20-1,34.379,,,,Middle Mousa,,
475,14/20-1,34.1995,,,,Middle Mousa,,
476,14/20-1,33.2923,,,,Middle Mousa,,
477,14/20-1,32.4854,,,,Middle Mousa,,
478,14/20-1,32.1156,,,,Middle Mousa,,
479,14/20-1,31.8726,,,,Middle Mousa,,
480,14/20-1,31.936,,,,Middle Mousa,,
481,14/20-1,32.2798,,,,Middle Mousa,,
482,14/20-1,32.332,,,,Middle Mousa,,
483,14/20-1,31.93,,,,Middle Mousa,,
484,14/20-1,31.4421,,,,Middle Mousa,,
485,14/20-1,30.8446,,,,Middle Mousa,,
486,14/20-1,30.4574,,,,Middle Mousa,,
487,14/20-1,29.4203,,,,Middle Mousa,,
488,14/20-1,28.0138,,,,Middle Mousa,,
489,14/20-1,26.4816,,,,Middle Mousa,,
490,14/20-1,24.9966,,,,Middle Mousa,,
491,14/20-1,23.0408,,,,Middle Mousa,,
492,14/20-1,21.2506,,,,Middle Mousa,,
493,14/20-1,19.7369,,,,Middle Mousa,,
494,14/20-1,18.6367,,,,Middle Mousa,,
495,14/20-1,17.5641,,,,Middle Mousa,,
496,14/20-1,16.5515,,,,Middle Mousa,,
497,14/20-1,15.6867,,,,Middle Mousa,,
498,14/20-1,15.1052,,,,Middle Mousa,,
499,14/20-1,15.0987,,,,Middle Mousa,,
500,14/20-1,15.0975,,,,Middle Mousa,,
501,14/20-1,14.7962,,,,Middle Mousa,,
502,14/20-1,14.695,,,,Middle Mousa,,
503,14/20-1,14.6937,,,,Middle Mousa,,
504,14/20-1,14.4924,,,,Middle Mousa,,
505,14/20-1,14.2911,,,,Middle Mousa,,
506,14/20-1,13.6135,,,,Middle Mousa,,
507,14/20-1,13.251,,,,Middle Mousa,,
508,14/20-1,13.087,,,,Middle Mousa,,
509,14/20-1,13.1473,,,,Middle Mousa,,
510,14/20-1,13.5936,,,,Middle Mousa,,
511,14/20-1,14.208,,,,Middle Mousa,,
512,14/20-1,14.7824,,,,Middle Mousa,,
513,14/20-1,15.0813,,,,Middle Mousa,,
514,14/20-1,15.08,,,,Middle Mousa,,
515,14/20-1,16.1054,,,,Middle Mousa,,
516,14/20-1,16.6152,,,,Middle Mousa,,
517,14/20-1,17.5242,,,,Middle Mousa,,
518,14/20-1,18.0552,,,,Middle Mousa,,
519,14/20-1,18.9594,,,,Middle Mousa,,
520,14/20-1,19.8331,,,,Middle Mousa,,
521,14/20-1,20.6604,,,,Middle Mousa,,
522,14/20-1,21.4875,,,,Middle Mousa,,
523,14/20-1,22.3864,,,,Middle Mousa,,
524,14/20-1,23.5808,,,,Middle Mousa,,
525,14/20-1,24.1984,,,,Middle Mousa,,
526,14/20-1,25.3526,,,,Middle Mousa,,
527,14/20-1,26.2167,,,,Middle Mousa,,
528,14/20-1,27.1716,,,,Middle Mousa,,
529,14/20-1,27.6711,,,,Middle Mousa,,
530,14/20-1,27.6774,,,,Middle Mousa,,
531,14/20-1,27.8694,,,,Middle Mousa,,
532,14/20-1,27.8684,,,,Middle Mousa,,
533,14/20-1,27.8675,,,,Middle Mousa,,
534,14/20-1,27.8666,,,,Middle Mousa,,
535,14/20-1,27.6655,,,,Middle Mousa,,
536,14/20-1,27.6645,,,,Middle Mousa,,
537,14/20-1,27.8638,,,,Middle Mousa,,
538,14/20-1,28.142,,,,Middle Mousa,,
539,14/20-1,28.4625,,,,Middle Mousa,,
540,14/20-1,28.6593,,,,Middle Mousa,,
541,14/20-1,28.457,,,,Middle Mousa,,
542,14/20-1,27.8529,,,,Middle Mousa,,
543,14/20-1,27.4407,,,,Middle Mousa,,
544,14/20-1,26.8324,,,,Middle Mousa,,
545,14/20-1,26.4547,,,,Middle Mousa,,
546,14/20-1,26.2535,,,,Middle Mousa,,
547,14/20-1,25.695,,,,Middle Mousa,,
548,14/20-1,25.6508,,,,Middle Mousa,,
549,14/20-1,25.6498,,,,Middle Mousa,,
550,14/20-1,25.4486,,,,Middle Mousa,,
551,14/20-1,24.9469,,,,Middle Mousa,,
552,14/20-1,24.3703,,,,Middle Mousa,,
