OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
460,15/26a- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.15416685999997526,58.105695973000024
472,15/15- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.8991781429999719,58.502636783000014
487,15/16- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,0.09683738100000028,58.37221401599999
496,14/20b- 30,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.1731657509999991,58.45839380000001
498,14/20b- 32,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,,,,,,Yes,,,,,,,,,,,,-0.07905378100002736,58.404473999000004
499,14/21a- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.9228990120000162,58.24961068900001
513,15/25a- 4,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,,,0.8324951660000011,58.19259655100001
519,15/25b- 1A,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.9690477799999826,58.284715613
534,15/16b- 18,OGA Offshore Wells,Yes,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.1088611249999758,58.45105306400001
536,15/16b- 20,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.11428708699997969,58.38901185100002
